League	Score	UserID	AgentID	Lang	Pseudo	#challenge,count=6867,time=2021-06-13 00:30:06
5	45.28	1400179	3662045	C++	reCurse	
5	38.43	1082988	3663273	C++	Saelyos	
5	37.98	1314316	3658275	C++	jolindien	
5	37.91	820000	3663881	C++	ValGrowth	
5	36.87	3348388	3663635	C++	bowwowforeach	
5	36.39	3820553	3663673	Rust	terry_u16	
5	35.36	4062038	3663628	C++	delineate	
5	35.22	2311105	3658732	C++	kovi	
5	34.96	4120837	3663320	C++	philipplenk	
5	34.92	805067	3659951	C++	Magus	
5	34.72	3534078	3658593	C++	chabes	
5	34.59	1500515	3661536	C#	eulerscheZahl	
5	34.2	4300424	3656557	Rust	kurnevsky	
5	34.03	335954	3659708	Java	nmahoude	
5	33.95	3513922	3658152	C++	Skril	
5	33.63	2288263	3659253	Rust	dbdr	
5	33.54	4321241	3663862	C++	Omotchi	
5	33.39	4208158	3652915	C++	Tiouz	
5	33.14	186179	3658458	C++	Nagrarok	
5	32.49	3811112	3662180	C++	yukine3	
5	32.3	1415495	3655916	C	fenrir	
5	32.29	351062	3663811	C++	Neumann	
5	32.29	1629759	3663931	C++	MSz	
5	32.24	893541	3659795	Java	wala	
5	32.23	524638	3663232	C++	miklla	
5	31.92	4052722	3661402	C++	ClockSort	
5	31.55	1607522	3663074	C++	RoboStac	
5	31.41	2566623	3662480	C++	VincentBab	
5	31.34	2968035	3660209	C++	DomiKo	
5	31.19	3436443	3656481	C++	Mazelcop	
5	30.73	1630890	3660030	Scala	Wld	
5	30.61	3196495	3663589	C++	putibuzu	
5	29.81	668954	3659984	C++	Fluxor	
5	29.77	3235897	3662024	Java	Zylo	
5	29.55	1372349	3642777	C++	NinjaDoggy	
5	29.44	1239678	3659624	Perl	Vlavv	
5	29.4	2711438	3663993	Python3	Aeneas	
5	29.37	3791447	3657482	C++	4bungi	
5	29.31	4095799	3653983	VB.NET	circular17	
5	28.95	2830367	3663360	C++	daiver19	
5	28.87	854952	3662195	C++	dolmen1234	
5	28.76	3533314	3658640	C#	skotz	
5	28.72	880353	3655967	C++	zasmu	
5	28.66	1540478	3655646	C++	struct	
5	28.49	837436	3660175	C++	aropan	
5	28.45	3918583	3662565	Rust	mikmak	
5	28.36	580424	3663586	C++	siman	
5	28.16	3154027	3658115	C++	Jirotech	
5	28.11	4318335	3662902	C++	CyberEcho	
5	28.02	3857586	3650043	Python3	nGragas	
5	27.98	2021126	3659976	C	FPSCUBE	
5	27.96	1818159	3662462	C++	JRFerguson	
5	27.9	2907009	3663484	C#	Arnaud.Net	
5	27.82	4274197	3661110	C++	i8fbnkyw	
5	27.81	3621136	3661944	Python3	MichaelPu	
5	27.72	1481544	3660212	C++	ZarthaxX	
5	27.68	1407720	3659637	Rust	bananaMixer	
5	27.54	2432815	3662770	C++	Carre	
5	27.32	4319239	3660150	Python3	-Cile-	
5	27.25	1272951	3663495	Python3	don_bovar	
5	27.09	3819989	3662229	C++	KawattaTaido	
5	27.03	863905	3662958	C#	tiraptor	
5	26.99	3770928	3662655	C++	ku-haku	
5	26.97	3188551	3661454	TypeScript	ashelkov	
5	26.92	3042651	3646815	Go	slamo	
5	26.89	3819467	3663002	C++	bin101	
5	26.8	1537951	3643861	Java	Nerchio	
5	26.79	484004	3663706	C#	aCat	
5	26.63	2906497	3653474	C++	daaskare	
5	26.56	198916	3655037	Java	WhatTrickeryIsThis	
5	26.33	3726978	3648312	C++	VirtualAtom	
5	25.95	1433161	3662470	C	mingu1.kang	
5	25.91	1611293	3662194	C++	btk	
5	25.87	2970414	3660177	Python3	Fangel	
5	25.81	1994840	3661282	C#	Keiichi	
5	25.75	3457031	3660833	C++	YurkovAS	
5	25.59	4276275	3663486	Java	Uakbird	
5	25.59	1765864	3657929	C#	SeJ	
5	25.58	1722411	3654631	Python3	Schw1ngschleifer	
5	25.58	1132938	3660007	C++	jeedayy	
5	25.56	3380418	3663544	C++	Von-Karma	
5	25.45	3319855	3651178	C#	Drobor	
5	25.43	3585392	3659390	C++	KeNaj712	
5	25.3	736075	3661252	C++	Xyze	
5	25.29	2021565	3663552	D	arukuka	
5	25.29	4050493	3659445	Python3	SophiaLegacy	
5	25.22	4280532	3655665	C	middole	
5	25.17	4256431	3663766	Java	Butcher2013	
5	24.95	1732414	3638255	C++	ClosetAI	
5	24.91	1824376	3663890	C++	Kodle	
5	24.89	815488	3660101	Java	Seti	
5	24.83	813817	3664122	Javascript	MatushSean	
5	24.72	2267040	3657062	Javascript	Egaro555	
5	24.7	3971358	3663674	C++	OldJohn	
5	24.69	3802525	3656799	C#	Chibikko	
5	24.56	3026370	3652975	Python3	Bernard_Lowe	
5	24.55	4331914	3663835	C	MG.KANG	
5	24.54	154984	3662657	C++	_Royale	
5	24.29	1930944	3638257	Kotlin	Neige	
5	24.26	3493230	3662530	Rust	sgalasso	
5	24.2	4061426	3662422	Python3	AllieG	
5	24.18	1487392	3658953	C++	Razielwar	
5	24.13	4262172	3656238	C++	highjump	
5	24.02	4274676	3659888	Javascript	andyr	
5	24	1341520	3659191	C	egaetan	
5	23.97	4296900	3643823	C	ahkoh	
5	23.87	4057208	3657811	C++	casmith789	
5	23.86	1757536	3659503	Python3	BlueGhost31	
5	23.83	154935	3658901	Scala	yamo	
5	23.78	2135916	3656734	Python3	Oioi	
5	23.77	1416180	3662399	C++	ddreams	
5	23.73	3756199	3662184	C++	KnightMoves	
5	23.65	3540633	3659001	Javascript	5H4dy	
5	23.64	1419961	3663940	Rust	ichyo	
5	23.61	2254195	3662200	Java	BrunoFelthes	
5	23.55	4284682	3659013	Python3	Momtaz	
5	23.54	4324868	3661765	C++	Pawix	
5	23.51	4248973	3660506	C++	natofp	
5	23.47	2363657	3657111	C++	Ztrk	
5	23.47	3806268	3655333	C++	sekai__	
5	23.47	2007852	3660888	Go	Zorg1	
5	23.41	939375	3661216	Python3	Indrill	
5	23.41	4060722	3663334	Java	StevenV	
5	23.33	4026557	3663972	Python3	azriel1rf	
5	23.26	2924895	3658370	C	trictrac	
5	23.21	1114834	3661641	C++	k4ng0u	
5	23.17	3727456	3663875	C++	m_opala	
5	23.16	3729934	3660029	C++	vendelle	
5	23.15	1783604	3656036	C	Vry	
5	23.14	1854246	3662370	C++	Counterbalance	
5	23.12	2490008	3661743	C++	ebicochineal	
5	23.07	1045485	3653478	TypeScript	Jessie	
5	23.02	3245819	3663722	C#	TomA	
5	22.98	2741162	3663974	Kotlin	YannT	
