Score	UserID	Lang	Pseudo	#optim,count=3287,time=2019-11-06 00:30:20
2792	2316796	PHP	Psio	
2793	1485989	Python3	ReActiveNZ	
2806	2288263	Java	dbdr	
2841	1301401	C#	Stanax	
2851	1156834	Python3	dave9000	
2851	1399382	C#	Regulus136	
2897	1333869	Python3	kiwijam	
2923	1415495	C++	fenrir	
2977	1514534	Java	louis78700	
2999	1323814	Clojure	SatineChatounette	
3004	557990	C++	Wazemo	
3027	1039809	C#	Azziliz	
3101	922880	C#	Leshka	
3108	1307473	C++	Evgenykz	
3131	1629259	C#	Marchete	
3158	735910	C++	Agade	
3172	1001096	C#	MyIIone	
3183	820000	C++	ValGrowth	
3189	805067	Javascript	Magus	
3207	841085	C#	Risen	
3221	403748	C#	[CG]SaiksyApo	
3238	1477749	C++	Shadeke	
3290	1136521	C	nadrek	
3294	1798477	C#	mnivet	
3333	973040	F#	papyjo	
3356	154984	PHP	_Royale	
3367	806157	Python3	Aveuh	
3370	1068877	C#	[CPC]Tamno	
3378	1425201	C#	JamesPun	
3392	1620803	Perl	Lyapunov	
3409	505511	Java	int33h	
3413	1100752	C++	ValNykol	
3413	1244576	Java	PauloVilela	
3415	601054	C++	geza	
3425	553938	C++	MagAlex	
3430	3035070	C#	Ipso	
3445	668954	C++	Fluxor	
3449	941713	C	Bloody95	
3450	893541	Java	wala	
3456	907661	C++	konst	
3456	1788003	C++	MIKHAIL_CHESNOKOV	
3467	888404	Perl	Intramonk	
3477	1878648	Java	jaudo	
3480	2436448	Java	FrancoisMeme	
3486	1272564	Python3	Raspberry4all	
3493	558770	Java	lD	
3504	172938	Javascript	kuzmaka	
3510	2043908	C++	AntiSquid	
3515	1630890	Java	Wld	
3530	920987	Python3	redna70	
3532	1687754	Java	cg123	
3553	1131084	C#	pmod	
3566	1336464	Perl	magaiti	
3568	1822346	C++	Arcaseus	
3577	1121543	Scala	Aube	
3612	887560	Java	stok	
3613	536400	C++	Atmel	
3621	518889	C++	athin	
3636	2492576	Python3	nehok	
3644	1749055	C#	AndreiBilalov	
3646	888898	Javascript	helgui	
3650	1498442	Javascript	NSzx	
3652	1264581	Python3	BenjiIsBack	
3656	225811	Ruby	Inferno285	
3659	938374	C#	UnmanagedCode	
3680	507383	C#	Vadasz	
3684	351062	Java	Neumann	
3696	155928	C++	pk	
3696	858602	C++	Suigetsusake	
3696	1096228	C++	XiaotianZuo	
3696	1175255	C++	Joshhh	
3696	1528929	C++	Blackfich	
3696	1747776	C++	Lolidragon	
3696	1753424	C++	FilkinKuiv	
3696	1770097	C++		
3696	1772510	C++	Aravia	
3696	1793289	C++	LeQuyDuong	
3696	1794620	C++		
3696	1799731	C++		
3696	1803214	C++		
3696	2002917	C++	Hackerman007	
3696	2072927	C++	_you_	
3696	2075168	C++	PapaEmeritus	
3696	2162492	C++	BluSomething	
3696	2359867	C++	Agda	
3696	2470625	C++	Gazoum	
3697	513549	Groovy	y0p	
3719	942810	C++	Xtophe	
3732	201919	C++	LouJo	
3733	545951	C++	AntonT	
3734	197601	Python3	LetMeUseYourKeyboard	
3735	218189	Python3	[CG]Maxime	
3745	329200	PHP	BlitzProg	
3751	199701	PHP	bzm	
3761	954023	Java	Rguiu	
3778	668906	Java	Sandworm	
3781	886483	ObjectiveC	R4N4R4M4	
3786	869323	C++	Ferra	
3804	950088	C#	Nickname123	
3808	1605507	Java	Zes	
3809	1675034	Javascript	francois	
3810	848989	Java	revever	
3820	1818596	Ruby	wec	
3824	230015	Java	Kolo9	
3826	953751	C++	sebv	
3829	1584802	Python3	emh	
3829	1746116	C#	Nick5477	
3833	622213	Go	Ornicare	
3834	567787	C#	SAL9000	
3837	1487392	Java	Razielwar	
3843	1684316	C#		
3847	2924895	C	trictrac	
3853	264258	Python3	MrFlibble	
3858	1704708	Python3	valcodi	
3865	209439	Python3	D4yBr3ak	
3868	2785892	Python3	levbor	
3875	937362	Javascript	josh_	
3879	153927	C++	Cubix	
3883	2242201	C++	Maryan	
3884	2536538	C	Pduhard-	
3892	918233	Python3	screg	
3895	1341520	Java	egaetan	
3895	2897325	Python3	CAEZAR	
3900	416762	C#	Khao	
3910	706692	Java	alexhap	
3930	632549	Java	Keiras	
3944	1264368	C#	Ultimacho	
3950	230794	C++	alpha_one_x86	
3950	270881	C++	Maurice_Moss	
3950	1071140	C++	BeberLeNewbie	
3950	1163331	C++	Banin	
3950	1169762	C++	gagolucasm	
3950	1374052	C++	Pesegato	
3950	1592706	C++	Jockley	
3950	1707377	C++	Colgate-Blancheur	
3950	1743393	C++	Yudzhin	
3950	1757340	C++	VadimGulyaev	
3950	1781218	C++	Zedyyy	
3950	1803239	C++		
3950	1803679	C++		
3950	1917969	C++	NicosKaralis1	
3950	2006324	C++	SihardeOussama	
3950	2110342	C++	lchenay	
3950	2820691	C++		
3955	833606	Java	mattrero	
3963	660374	Haskell	nomeata	
3972	153674	C	GQMP	
3972	337622	Scala	Isammoc	
3976	1778295	Javascript	41x	
3977	1724069	Python3	jmpeg	
3978	1188212	ObjectiveC	superredlark	
3991	1802935	C#		
3996	320053	PHP	Zbug	
3997	876163	C#	AY1111	
4003	833299	C++	egbert	
4004	751369	C++	tibithegreat	
4005	826359	Python3	Skywalker	
4006	792813	Python3	VilBoub	
4016	999596	Rust	Schyrsivochter	
4021	818771	Javascript	Feugy	
4026	935744	PHP	Alcalyn	
4031	826880	Java	volatilecat	
4031	3226448	Python3	tobk	
4036	1201796	C++	P.Greze	
4036	1390789	C++	Matthieu.L	
4036	1714338	C++	cobase2010	
