Score	UserID	Pseudo	#time=2019-09-07 09:56:06,count=1118
182	1654818	tarapitha
182	1629259	Marchete
183	2178794	Unihedron
228	155774	dwarfie
376	2662239	MarvinTheMartian
479	3420245	strinsberg
563	2718312	boogie666
645	1740037	ereiam
