Score	UserID	Pseudo	#time=2019-09-07 11:50:57,count=7
199	2288263	dbdr	
201	1629259	Marchete	
201	1654818	tarapitha	
206	1001096	MyIIone	
368	2786666	TetraktysPhi	
1315	1472747	GrSpirit	
1601	3291305	Fairax	
