Score	UserID	Pseudo	#time=2019-09-07 11:51:02,count=6
142	1654818	tarapitha	
144	1357614	OptiPanda	
155	1001096	MyIIone	
157	155774	dwarfie	
218	2786666	TetraktysPhi	
419	1740037	ereiam	
