Score	UserID	Pseudo	#time=2019-09-07 11:51:03,count=9
132	1629259	Marchete	
132	1436776	BrainSolver	
134	1654818	tarapitha	
163	2786666	TetraktysPhi	
165	155774	dwarfie	
204	1179950	Patorikkuyatta	
394	1021061	divbyzero	
430	1740037	ereiam	
