Score	UserID	Pseudo	#time=2019-09-07 11:50:58,count=11
132	1436776	BrainSolver	
143	1654818	tarapitha	
148	2178794	Unihedron	
154	1740037	ereiam	
160	2069141	tomeko	
168	1629259	Marchete	
194	155774	dwarfie	
207	1168329	Totetmatt	
215	2786666	TetraktysPhi	
274	1733593	Wei-1	
372	3167968	Master_Zain	
