# time=2019-09-07 08:09:03
# count=7
#Score	UserID	Pseudo
101	155774	dwarfie
104	1654818	tarapitha
105	2288263	dbdr
123	2178794	Unihedron
164	1407420	kiril76
218	2786666	TetraktysPhi
875	1001266	Chamel
