League	Score	UserID	AgentID	Lang	Pseudo	#time=2019-09-07 11:28:33,count=521
3	16.67	2450542	2355105	C++	MindControler	
3	16.44	3278261	2318919	Javascript	alexeysinko	
3	16.39	3054071	2321100	Python3	Filosofix	
3	16.19	934381	2340765	Haskell	PolyB	
3	16.06	155762	2335748	C++	BabelO	
3	15.47	999186	2313624	Java	Bilgetz	
3	15.12	588426	2315875	C++	Jeff06	
3	15.02	1803811	2316835	Python3	TabascoEye	
3	15	1529396	2314159	Python3	ulukai	
3	14.77	2855929	2329467	C++	Smour	
3	14.64	3369358	2430156	Python3	kirsanov.anton.info	
3	14.47	1717345	2314348	Scala	kotobotov	
3	14.42	1288527	2311923	C#	Snef	
3	14.36	1676711	2337142	Java	Eeeval	
3	14.26	2092623	2330434	Java	YoshiNoob	
3	14.24	2678083	2356674	Python3	Khazou	
3	14.08	2655682	2330836	Java	CoderFromOuterSpace	
3	14.04	1060181	2314619	Ruby	Dabou	
3	14.03	2870586	2318734	C#	MattZ	
3	13.95	1876212	2316969	Python3	PFischbeck	
3	13.88	1728288	2335303	C#	MOLP	
3	13.84	854952	2314802	C++	dolmen1234	
3	13.82	3237004	2435306	Java	darkmoonbzh	
3	13.78	734401	2439864	C++	b0n5a1	
3	13.75	2104758	2406934	Python3	Danifae	
3	13.68	2794638	2335306	Python3	patrickm	
3	13.65	292595	2312438	PHP	GN4RK	
3	13.61	1528274	2312582	Ruby	BlanCap	
3	13.43	226478	2314604	Python3	Balkin	
3	13.41	1829569	2481728	Python3	[0___0]	
3	13.38	2336201	2325951	Python3	Okyn	
3	13.32	2836269	2357808	C++	Ponas_N	
3	13.3	2467024	2396573	Java	Daytona	
3	13.28	1077559	2314587	Java	PhOeNyX	
3	13.27	893027	2412788	Python3	R.Janvier	
3	12.96	765381	2357710	Java	kerdei	
3	12.76	322737	2427942	Go	Nangini	
3	12.63	1207532	2335307	Python	Squary	
3	12.41	1114698	2415355	Python3	xiaohouzi	
3	12.36	1487168	2359727	Bash	FatIvan	
3	12.19	1374052	2313336	Java	Pesegato	
3	12.17	3335360	2481735	Python3	LevinTheAPDream	
3	12.16	1815583	2314612	C++	HarderTilt	
3	12.08	3207204	2312623	Java	RomanceDawn	
3	12.03	3248159	2411175	Javascript	sbsgillet	
3	12.02	2642734	2481702	Python3	ZTianming	
3	11.97	2055377	2318268	Python3	Covfefe	
3	9.84	1371420	2325890	Rust	FerrusDude	
3	4.37	720205	2481701	Scala	Svennevz	
3	4.21	1525816	2330588	Javascript	Flodnes	
3	4.07	1731005	2338891	Python	4X_Pro	
3	3.96	2203054	2334765	C#	Tillman575	
2	17.41	1283478	2436853	Javascript	Amilor7	
2	16.42	3305069	2327974	C++	kmoti	
2	16.38	3389773	2433550	C#	JaneIz	
2	15.7	2636264	2314966	Python3	mattdeal	
2	15.65	2592027	2436651	C#	ParticleBeam	
2	15.64	2499294	2326211	Python3	DeadTree	
2	15.34	3041095	2312325	Java	sthai	
2	15.29	2551407	2473051	Python3	SmellyPickle	
2	15.14	1983309	2408146	Python3	Distracted	
2	14.88	1169499	2449613	C++	naab	
2	14.79	1924596	2344044	Go	M1lk4fr3553r	
2	14.79	1193974	2413519	C++	simon9000	
2	14.76	2195528	2353618	C++	MrWhite	
2	14.72	2622559	2441640	Javascript	Gripnil	
2	14.69	3373560	2412849	Javascript	YoannLegrand	
2	14.69	3320999	2418062	Python3	lostkid456	
2	14.68	1546173	2452011	Java	Gorkill	
2	14.51	2225200	2340456	Kotlin	WildRhum	
2	14.47	158495	2458945	Javascript	Cr3aHal0	
2	14.4	2360690	2325831	Python3	Galrauch	
2	14.37	571731	2482880	Java	Polf	
2	14.25	2889053	2422465	Lua	Anderium	
2	14.12	1803865	2339833	Python3	olinox14	
2	14.09	3324027	2342831	Java	startskate	
2	14.08	3229344	2482446	Python3	davidakachaos	
2	14.08	2555066	2424079	Python3	dyc3	
